month,total_scraped,matched_scraped,share_scraped,matched_existing,total_existing,share_existing,share_scaled,epu_scraped,epu_scaled,epu_existing
2025-06-01,6900,101,0.014637681159420289,156,8333,0.0187207488299532,0.020518675011246837,308.9570390987512,433.089831099458,395.140191579629
2025-07-01,7128,109,0.015291806958473625,195,8724,0.02235213204951857,0.02143560949978157,322.76396762171925,452.4439812671555,471.7894364566937
2025-08-01,6296,51,0.008100381194409149,93,8029,0.011583011583011582,0.011354878370767802,170.97129770048076,239.66543873148075,244.48074942511712
2025-09-01,6875,61,0.008872727272727273,99,8462,0.011699361852989837,0.012437530602676931,187.27355502432556,262.51746811609513,246.93660709583227
2025-10-01,7338,73,0.009948214772417552,83,5853,0.014180762002391935,0.013945117647678343,209.97435517172744,294.33878842269553,299.3126401910864
2025-11-01,6796,42,0.006180105944673337,51,5076,0.01004728132387707,0.008663092468865397,130.4391811628097,182.84869858686932,212.06539759353376
2025-12-01,6004,60,0.009993337774816789,21,1652,0.012711864406779662,0.0140083697578779,210.92678675257872,295.6738792656436,268.3079555577493
