month,total_articles,matched_articles,paywalled_articles,share,rescaled_epu
2025-01-01,7111,71,34,0.009984531008297005,210.7408983561371
2025-10-01,7338,73,22,0.009948214772417552,209.97435517172744
2025-11-01,6796,42,19,0.006180105944673337,130.4391811628097
2025-12-01,6004,60,17,0.009993337774816789,210.92678675257872
