source,published_date,url,title,text_len,status
IrishTimes,2025-01-14,https://www.irishtimes.com/opinion/letters/2025/01/14/letters-to-the-editor-january-14th-on-president-higginss-comments-on-nato-and-the-climate-crisis-and-dublin-airport/,"Letters to the Editor, January 14th: On President Higgins’s comments on Nato, and the climate crisis and Dublin Airport",11983,ok
IrishTimes,2025-01-14,https://www.irishtimes.com/world/europe/2025/01/14/spain-proposes-100-tax-on-homes-bought-by-non-eu-residents/,Spain proposes 100% tax on homes bought by non-EU residents,3129,ok
IrishTimes,2025-01-15,https://www.irishtimes.com/politics/2025/01/15/restructuring-government-departments-has-taken-place-for-years-but-it-can-lead-to-staff-uncertainty-and-unhappiness/,"Changing how Government is run: justice, migration and infrastructure included in shake-up",4585,ok
IrishTimes,2025-01-16,https://www.irishtimes.com/business/2025/01/16/five-new-economic-promises-in-the-programme-for-government/,Programme for government: Five of the most notable new economic promises,4861,ok
IrishTimes,2025-01-16,https://www.irishtimes.com/business/economy/2025/01/16/lack-of-long-term-master-plan-for-energy-sector-ibec-ceo-claims/,Ireland lacks a long-term master plan for energy sector - Ibec CEO,4265,ok
IrishTimes,2025-01-16,https://www.irishtimes.com/your-money/2025/01/16/how-will-donald-trump-really-impact-ireland/,How will Donald Trump really impact Ireland?,9339,ok
IrishTimes,2025-01-17,https://www.irishtimes.com/business/2025/01/17/european-banks-warn-of-competitive-hit-from-uneven-capital-rules/,European Banks warn of competitive hit from uneven capital rules,2512,ok
IrishTimes,2025-01-17,https://www.irishtimes.com/business/2025/01/17/imf-sees-stable-if-lacklustre-global-growth-despite-trumps-tariff-threat/,IMF sees stable if ‘lacklustre’ global growth despite Trump’s tariff threat,3411,ok
IrishTimes,2025-01-17,https://www.irishtimes.com/business/work/2025/01/17/trust-gap-with-staff-is-the-big-hurdle-for-companies-looking-to-harness-ai/,AI in the office: Trust gap with staff is a big hurdle for companies,11617,ok
IrishTimes,2025-01-17,https://www.irishtimes.com/opinion/2025/01/17/gerard-howlin-programme-for-government-is-notable-not-just-for-a-lack-of-ideology-but-a-lack-of-passion/,"Gerard Howlin: Programme for government is notable not just for a lack of ideology, but a lack of passion",5681,ok
IrishTimes,2025-01-17,https://www.irishtimes.com/politics/2025/01/17/plan-for-mini-budget-in-first-100-days-of-government-dropped/,Plan for mini-budget by new government dropped,3431,ok
IrishTimes,2025-01-18,https://www.irishtimes.com/politics/2025/01/18/bashed-tables-dad-dancing-and-pizza-how-the-deal-for-a-new-government-was-done/,"Bashed tables, dad dancing and pizza: how the deal for a new government was done",9799,ok
IrishTimes,2025-01-20,https://www.irishtimes.com/ireland/2025/01/20/could-us-employers-in-ireland-lead-the-charge-on-ending-remote-working-for-irish-workers/,Could US employers in Ireland lead the charge on ending remote working for Irish workers?,8049,ok
IrishTimes,2025-01-20,https://www.irishtimes.com/politics/2025/01/20/us-multinationals-in-ireland-take-a-longer-view-than-white-house-cycles-minister-for-finance/,US multinationals in Ireland take a ‘longer view’ than White House cycles - Minister for Finance,3922,ok
IrishTimes,2025-01-20,https://www.irishtimes.com/world/us/2025/01/20/donald-trump-inauguration-live-updates/,"Trump inauguration as it happened: ‘We will be the envy of every nation,’ Donald Trump says as he becomes 47th US president",44776,ok
IrishTimes,2025-01-21,https://www.irishtimes.com/business/2025/01/21/bank-of-ireland-shares-rise-as-uk-government-weighs-in-on-car-finance-crisis/,Bank of Ireland shares rise as UK government weighs in on car finance crisis,3618,ok
IrishTimes,2025-01-21,https://www.irishtimes.com/business/2025/01/21/donald-trump-threatens-tax-war-over-us-multinationals/,Donald Trump threatens tax war over US multinationals,5275,ok
IrishTimes,2025-01-21,https://www.irishtimes.com/business/2025/01/21/stocks-rise-as-investors-weigh-trump-impact/,Stocks rise as investors weigh Trump impact,4101,ok
IrishTimes,2025-01-21,https://www.irishtimes.com/business/2025/01/21/us-decision-to-pull-out-of-global-tax-deal-regretful-eu-commissioner/,US decision to pull out of global tax deal regrettable - EU commissioner,4026,ok
IrishTimes,2025-01-21,https://www.irishtimes.com/business/economy/2025/01/21/ireland-will-hope-that-trump-will-focus-tariffs-on-china-rather-than-eu/,Cliff Taylor: Ireland risks being caught in the middle of Trump’s tax war,5755,ok
IrishTimes,2025-01-21,https://www.irishtimes.com/world/europe/2025/01/21/us-russia-and-china-could-sideline-europe-in-efforts-to-end-war-ukraine-warns/,"US, Russia and China could sideline Europe in efforts to end war, Ukraine warns",3705,ok
IrishTimes,2025-01-22,https://www.irishtimes.com/business/2025/01/22/economy-going-through-moderation-in-growth-with-employment-to-slow-ibec-says/,"Economy going through ‘moderation’ in growth with employment to slow, Ibec says",3549,ok
IrishTimes,2025-01-22,https://www.irishtimes.com/business/2025/01/22/ireland-on-alert-as-trump-pulls-us-out-of-global-tax-deal/,Ireland on alert as Trump pulls US out of global tax deal,5690,ok
IrishTimes,2025-01-22,https://www.irishtimes.com/business/2025/01/22/what-does-trump-pulling-out-of-the-oecd-tax-deal-mean-for-ireland/,What does Trump pulling out of the OECD tax deal mean for Ireland?,5541,ok
IrishTimes,2025-01-23,https://www.irishtimes.com/culture/film/2025/01/23/oscar-nominations-2025-announced-kneecap-saoirse-ronan-cillian-murphy-paul-mescal-irish/,Oscar nominations 2025: Emilia Pérez breaks record with 13 nods as Kneecap loses out,16920,ok
IrishTimes,2025-01-23,https://www.irishtimes.com/special-reports/2025/01/23/irish-smes-have-rolled-with-the-punches-in-recent-years-they-need-support-to-grow-and-thrive/,Irish SMEs have rolled with the punches in recent years. They need support to grow and thrive,6103,ok
IrishTimes,2025-01-24,https://www.irishtimes.com/opinion/letters/2025/01/24/letters-to-the-editor-january-24th-on-the-governments-political-agenda-and-the-school-meals-programme/,"Letters to the Editor, January 24th: On the Government’s political agenda, and the school meals programme",10748,ok
IrishTimes,2025-01-25,https://www.irishtimes.com/culture/books/review/2025/01/25/three-key-takes-on-china-on-xi-jinping-the-political-thought-of-xi-jinping-and-the-new-cold-war/,Three key takes on China: On Xi Jinping; The Political Thought of Xi Jinping; and The New Cold War,10815,ok
IrishTimes,2025-01-25,https://www.irishtimes.com/opinion/2025/01/25/cliff-taylor-if-the-government-does-its-job-right-the-comfortable-classes-wont-be-happy/,"Cliff Taylor: If the Government does its job right, the comfortable classes won’t be happy",6520,ok
IrishTimes,2025-01-25,https://www.irishtimes.com/sport/gaelic-games/2025/01/25/gaelic-football-rule-changes-everything-you-wanted-to-know-but-were-afraid-to-ask/,Gaelic football rule changes: Everything you wanted to know but were afraid to ask,8281,ok
IrishTimes,2025-01-27,https://www.irishtimes.com/business/2025/01/27/irish-economy-tracking-stronger-us-growth-but-remains-exposed-to-us-policy-uncertainty/,Irish economy’s growth outlook is ‘more American than European’,2591,ok
IrishTimes,2025-01-27,https://www.irishtimes.com/business/2025/01/27/when-dealing-with-trump-ireland-needs-to-focus-on-what-we-can-control-rather-than-speculating-ourselves-into-a-crisis/,"When dealing with Trump, Ireland needs to focus on what we can control rather than speculating ourselves into a crisis",7138,ok
IrishTimes,2025-01-27,https://www.irishtimes.com/opinion/2025/01/27/paschal-donohoe-as-international-risks-heighten-we-must-continue-to-run-budget-surpluses/,"Paschal Donohoe: As international risks heighten, we must continue to run budget surpluses",6646,ok
IrishTimes,2025-01-28,https://www.irishtimes.com/business/2025/01/28/irish-economy-grows-by-meagre-03-in-2024/,Irish economy grows by meagre 0.3% in 2024,2648,ok
IrishTimes,2025-01-28,https://www.irishtimes.com/business/work/2025/01/28/job-postings-offering-hybrid-work-arrangements-hits-record-high/,Irish jobs: Postings offering hybrid work arrangements hits record high,3423,ok
IrishTimes,2025-01-28,https://www.irishtimes.com/opinion/letters/2025/01/28/letters-to-the-editor-january-28th-on-the-president-and-holocaust-memorial-day-and-tackling-the-housing-crisis/,"Letters to the Editor, January 28th: On the President and Holocaust Memorial Day, and tackling the housing crisis",12394,ok
IrishTimes,2025-01-30,https://www.irishtimes.com/business/2025/01/30/ecb-cuts-interest-rates-again-as-focus-shifts-to-europes-ailing-economy/,ECB cuts interest rates again as focus shifts to Europe’s ailing economy,3682,ok
IrishTimes,2025-01-30,https://www.irishtimes.com/business/2025/01/30/ecb-set-to-cut-rates-again-as-trump-tariffs-cloud-outlook/,ECB set to cut rates again as Trump tariffs cloud outlook,2815,ok
IrishTimes,2025-01-31,https://www.irishtimes.com/business/2025/01/31/makhlouf-sees-worrying-signs-in-european-economy-after-latest-rate-cut/,Makhlouf sees ‘worrying signs’ in European economy after latest rate cut,4224,ok
IrishTimes,2025-01-31,https://www.irishtimes.com/business/2025/01/31/us-says-china-mexico-canada-tariffs-to-hit-saturday/,Donald Trump moves ahead with tariff plans and confirms EU is on list of future targets,4131,ok
